gene,mean_exprs,type_border,bs
gene_1,0.40688575899999996,a_TRUE,NA
gene_1,3.2742424243333335,b_TRUE,NA
gene_1,1.220657277,a_FALSE,10.34731914
gene_1,9.822727273,b_FALSE,7.836202453
gene_10,0.6839622639999999,a_TRUE,NA
gene_10,0.7663551403333333,b_TRUE,NA
gene_10,2.051886792,a_FALSE,2.525528235
gene_10,2.299065421,b_FALSE,2.33013388
gene_100,1.199513382,a_TRUE,NA
gene_100,0.49333333333333335,b_TRUE,NA
gene_100,3.598540146,a_FALSE,18.81838236
gene_100,1.48,b_FALSE,6.729592392
gene_11,9.854166666666666,a_TRUE,NA
gene_11,1.4021406726666665,b_TRUE,NA
gene_11,29.5625,a_FALSE,19.99226823
gene_11,4.206422018,b_FALSE,4.982697938
gene_12,1.8163580246666668,a_TRUE,NA
gene_12,0.9017857143333333,b_TRUE,NA
gene_12,5.449074074,a_FALSE,7.530349097
gene_12,2.705357143,b_FALSE,1.10968384
gene_13,1.0540123456666668,a_TRUE,NA
gene_13,1.0089285713333334,b_TRUE,NA
gene_13,3.162037037,a_FALSE,4.009576089
gene_13,3.026785714,b_FALSE,3.127886011
gene_14,0.566510172,a_TRUE,NA
gene_14,0.6242138363333333,b_TRUE,NA
gene_14,1.699530516,a_FALSE,3.082709302
gene_14,1.872641509,b_FALSE,5.151062208
gene_15,0.33656957933333337,a_TRUE,NA
gene_15,1.0462962963333333,b_TRUE,NA
gene_15,1.009708738,a_FALSE,1.307798455
gene_15,3.138888889,b_FALSE,2.522287961
gene_16,0.44913928000000003,a_TRUE,NA
gene_16,1.1161387633333333,b_TRUE,NA
gene_16,1.34741784,a_FALSE,1.415670685
gene_16,3.34841629,b_FALSE,3.585592958
gene_17,0.3666666666666667,a_TRUE,NA
gene_17,0.9082568806666668,b_TRUE,NA
gene_17,1.1,a_FALSE,1.360772582
gene_17,2.724770642,b_FALSE,2.723075268
gene_18,0.387631976,a_TRUE,NA
gene_18,0.5023041473333333,b_TRUE,NA
gene_18,1.162895928,a_FALSE,12.2825304
gene_18,1.506912442,b_FALSE,2.441455541
gene_19,5.64604811,a_TRUE,NA
gene_19,1.1643835616666667,b_TRUE,NA
gene_19,16.93814433,a_FALSE,44.34805102
gene_19,3.493150685,b_FALSE,6.788790237
