gene,mean_exprs,bs,bs_conf
Nacc2,2.07239819,2.959135965,[2.95913596 2.32231282 3.76479129]
Nadk,3.259259259,1.96205914,[1.96205914 1.56162396 2.49696541]
Nae1,3.4375,2.337398087,[2.33739809 1.88096677 2.94837897]
Naga,1.699530516,3.082709302,[3.0827093  2.36422606 4.02224626]
Nagk,4.844919786,14.66144574,[14.66144574 10.95524348 19.48584747]
Nagpa,0.977578475,2.199374579,[2.19937458 1.61906765 3.01104244]
Nampt,0.564102564,1.225842428,[1.22584243 0.67091774 3.09548561]
NAos1,0.570754717,3.944191129,[3.94419113 2.22190842 6.79969855]
NAs,3.71040724,4.902635325,[4.75555627 3.55344968 6.59086624]
Nap1l4,4.217391304,5.196869764,[5.19686976 4.21836295 6.45757124]
Napa,5.022321429,2.386274222,[2.38627422 1.92514351 2.92881463]
Napb,0.091324201,2.006022244,[2.00602224        NA        NA]
Naprt1,0.321100917,2.812245293,[2.81224529 1.27052959 7.86707703]
Narfl,0.804469274,4.177127825,[4.17712783 2.86908553 7.61595622]
Nasp,2.980952381,7.585003411,[7.58500341 5.95319476 9.70302768]
Nav1,0.985507246,3.407398944,[3.40739894 1.79597831 6.4816607 ]
Nbas,0.857843137,1.822560724,[1.82256072 1.07582602 3.44376076]
Nbea,0.289340102,51.29603271,[51.29603271         NA         NA]
Nbeal1,0.67961165,1.118765762,[1.08520279 0.73043057 1.58772181]
Nbn,0.789719626,1.093508899,[1.0935089  0.73408576 1.57747333]
Nbr1,1.492753623,3.011932971,[3.01193297 1.58995767 5.62754486]
Ncam1,3.136363636,3.193915495,[3.09809803 2.52395617 3.86848901]
Ncapd2,0.635514019,1.664317268,[1.66431727 1.08039948 2.41997221]
Ncapg,1.167420814,14.64252022,[14.64252022  9.88575121 21.76411514]
Ncapg2,0.50678733,2.272420293,[2.27242029 1.53529079 3.43161337]
Ncaph,0.722727273,4.550558944,[4.55055894 2.85893201 7.13818123]
Ncbp1,1.59,3.05205145,[2.96048991 2.2489072  3.91623564]
Ncbp2,2.829493088,3.345318458,[3.34531846 2.66266802 4.22687326]
Ncdn,1.380487805,4.236144082,[4.23614408 2.33441827 7.61160152]
Nceh1,0.935323383,1.853450601,[1.8534506  1.23778734 3.51543565]
Nck1,1.154639175,2.045434859,[1.92270877 1.42956708 2.67554262]
Nckap1l,0.02690583,3.5663086,[3.5663086       NA       NA]
Ncl,21.59174312,23.84632616,[23.84632616 20.31973049 28.21234711]
Ncln,5.059405941,9.097316904,[ 9.0973169   6.65915686 12.1991808 ]
Ncoa2,0.285714286,1.708471084,[1.70847108        NA        NA]
Ncoa4,0.203208556,2.019303373,[2.01930337        NA        NA]
Ncoa5,1.200956938,3.547794606,[4.0799638  2.66358439 6.22347532]
Ncoa6,1.155555556,29.63387143,[29.63387143 14.59788339 74.78583602]
Ncoa7,0.202764977,1.017512388,[1.01751239 0.49836657 2.68373573]
Ncor1,3.110576923,8.355019723,[ 8.35501972  5.62802814 12.42524127]
Ncor2,2.650485437,4.818239585,[4.81823959 3.02923162 7.24653736]
Ncstn,3.493150685,6.788790237,[ 6.78879024  4.40733126 10.1620118 ]
Ndc80,0.452488688,17.29879462,[17.29879462  8.99665945 40.19018328]
Nde1,1.30941704,2.466837003,[2.466837   1.85224873 3.24975674]
Ndel1,4.105990783,6.646824532,[6.64682453 4.60882139 9.15123773]
Ndfip2,3.497630332,9.566480761,[ 9.56648076  5.63238704 16.98926233]
Ndnl2,1.385416667,15.47960793,[15.47960793  7.71838558 45.29915439]
Ndrg1,0.976958525,5.668404797,[5.6684048  4.08133483 8.09115359]
Ndrg3,1.177884615,1.885314606,[1.82875517 1.36679174 2.50425222]
Ndrg4,1.947368421,3.556219872,[3.55621987 2.39479164 5.42655304]
Ndst1,0.448648649,1.278535189,[1.24017913 0.79014676 1.98707364]
Ndst2,0.481651376,1.937349125,[1.93734913        NA        NA]
Ndufa10,9.758928571,7.480182759,[7.48018276 6.30009462 8.93898487]
Ndufa12,13.91517857,5.219709676,[5.06311839 4.28979653 6.03196975]
Ndufa13,21.6875,11.20780641,[13.22521157  9.11051802 17.51090687]
Ndufa3,14.36160714,3.219251469,[3.21925147 2.68229408 3.86789741]
Ndufa4,34.75892857,9.085031827,[ 9.08503183  7.82341696 10.5935287 ]
Ndufa4l2,0.372727273,5.819321322,[ 5.81932132  3.54298238 10.63262751]
Ndufa5,11.94642857,7.597492822,[7.59749282 6.43610056 9.01244143]
Ndufa8,12.4529148,11.55774689,[11.55774689  9.23208116 13.7161414 ]
Ndufaf1,1.977375566,6.037343244,[6.03734324 4.06402302 8.74577481]
Ndufaf2,2.436936937,5.393558044,[5.39355804 3.67180585 7.67709811]
Ndufaf4,4.687782805,5.426595843,[5.42659584 3.60837746 7.75125496]
Ndufb10,13.07623318,14.44325168,[14.44325168 10.46773374 19.4775754 ]
Ndufb11,14.66666667,37.90175427,NA
Ndufb2,8.428571429,2.931612985,[2.93161298 2.41646686 3.56162892]
Ndufb3,3.968468468,1.616268342,[1.47080419 1.14195146 2.68713729]
Ndufb5,5.010638298,43.57540807,[43.57540807 28.00553482 72.50778802]
Ndufb6,15.49107143,8.424153446,[ 7.16053043  5.61752352 10.92048203]
Ndufb8,24.86607143,15.44249763,[14.9792227   9.84064851 21.05677789]
Ndufc1,14.66964286,4.668853358,[4.66885336 3.38994633 7.52654102]
Ndufc2,6.196428571,2.853806342,[2.68257796 2.00376967 4.72560203]
Ndufs1,2.925581395,8.130773682,[ 8.13077368  5.22677588 12.73044644]
Ndufs2,14.01369863,47.79734401,[47.79734401 36.20422682 63.17556471]
Ndufs4,5.091324201,8.283414626,[ 8.28341463  5.4109523  12.31914384]
Ndufs6,7.291479821,5.464451134,[5.46445113 3.48933929 8.10830338]
Ndufs8,7.031390135,4.680535195,[4.6805352  3.91166893 5.64751154]
Ndufv1,2.55,3.075148224,[2.79838488 2.23313006 3.58305991]
Ndufv3,13.04910714,5.863284396,[5.8632844  4.94718032 6.88634479]
Neat1,4.16744186,11.25166793,[ 9.2263677   7.91607607 13.37147033]
Neb,0.069124424,1.524580705,[1.5245807  0.58327256 4.37898986]
Necap1,1.709090909,1.891139854,[1.89113985 1.44792327 2.46489416]
Necap2,3.697674419,8.001706078,[ 8.00170608  5.65378698 11.13701675]
Nedd4,20.01785714,8.371020174,[8.37102017 6.99349662 9.82653221]
Nedd4l,1.201970443,2.285453819,[2.28545382 1.69637338 3.10182388]
Nedd8,21.46875,11.71797067,[11.71797067 10.06905906 13.72378554]
Nedd9,0.936073059,3.066410143,[3.06641014 1.96756391 4.92996795]
Nefm,0.269230769,55.99879792,[ 52.63887004  20.46297313 170.13339393]
Neil3,0.120535714,1.195419189,[1.19541919        NA        NA]
Nek2,0.242152466,2.90822336,[2.90822336 1.58953713 5.51112576]
Nek3,0.232142857,2.161985334,[2.16198533 1.08442427 4.99907147]
Nek6,1.688995215,1.14948364,[1.14948364 0.79544074 1.55563496]
Nek7,1.614349776,1.445290789,[1.44529079 1.08880503 1.88016381]
Nek9,0.657458564,1.705982228,[1.70598223 1.14445145 2.55203921]
Nell2,0.147982063,1.66567288,[1.66567288 0.82958248 3.36130594]
Nemf,4.161290323,9.068123875,[ 9.06812388  6.44686498 12.46246345]
Nenf,2.995454545,4.004069688,[4.24431387 2.78718706 6.11892278]
Neo1,0.896174863,2.775726117,[2.77572612 1.83565501 4.59912808]
Nes,0.495495495,6.575728022,[ 6.57572802  3.84742918 11.34171539]
Net1,0.350318471,8.165394433,[ 8.16539443  3.93143872 17.73130555]
Neu1,0.88,4.88016899,[ 4.88016899  2.5781964  10.16315611]
Neu3,0.191964286,1.670945806,[1.37017556        NA        NA]
Neurl1a,0.137931034,1.172116264,[1.20727975        NA        NA]
Neurl2,0.369863014,1.00938391,[0.91853936 0.56246831 2.07411838]
Nf2,0.883248731,2.385800803,[2.3858008  1.19163255 4.85253425]
Nfat5,2.286549708,7.808210888,[ 7.80821089  4.81145488 12.75838747]
Nfatc4,0.636363636,35.27594163,[35.27594163         NA         NA]
Nfe2l1,2.703883495,4.940533258,[5.82982924 4.03645789 7.97904209]
Nfe2l2,3.339449541,4.823231272,[4.82323127 3.01024539 7.15252633]
Nfib,0.141552511,1.224547335,[1.18781091 0.6017305  2.42055755]
Nfic,2.180555556,2.480917903,[2.25763529 1.77720859 2.89243302]
Nfix,10.41666667,100.4512933,[100.45129333  63.98293676 166.00324537]
Nfkb1,0.733333333,2.737297278,[2.73729728 1.54908843 4.68466692]
Nfkb2,1,1.246604709,[1.20920657 0.86242819 1.67354111]
Nfkbib,1.377990431,2.829982895,[2.8299829  1.48377825 5.56437174]
Nfkbie,0.088235294,2.546704858,[2.54670486        NA        NA]
Nfkbiz,1.55,3.126485585,[3.12648558 2.23196589 4.84860909]
Nfrkb,0.295774648,3.461500229,[3.14996521 1.90240732 5.62297764]
Nfs1,2.313432836,4.268680256,[4.26868026 2.55147609 6.6658846 ]
Nfu1,2.453271028,2.057669338,[2.05766934 1.60268337 2.64616906]
Nfx1,1.571428571,6.118765619,[6.11876562 3.78423713 9.79801522]
Nfya,1.005076142,2.931148846,[2.93114885 1.66679239 5.11396082]
Nfyb,1.430555556,1.060315661,[1.15574407 0.84306661 1.52476471]
Ngdn,2.324074074,5.190910569,[5.19091057 3.33516934 8.36300931]
Ngly1,0.726829268,2.594454536,[2.59445454 1.25980389 5.48466498]
Nhlrc1,0.067873303,1.101386696,[1.1013867  0.40630864 3.07233368]
Nhlrc2,0.971962617,1.235520683,[1.23552068 0.87289539 1.73651222]
Nhlrc3,0.119266055,4.46608607,[4.46608607        NA        NA]
Nhp2,3.918181818,3.901787198,[3.9017872  3.18658484 4.83470934]
Nid1,7.648648649,7.374738655,[7.15349649 5.94753107 8.48842939]
Nid2,1.087804878,4.922539745,[4.92253974 3.20842713 7.49493007]
Nin,0.627906977,1.357301577,[1.35730158 0.92647453 1.97416147]
Ninl,0.115740741,1.63063458,[1.63063458        NA        NA]
Nip7,3.348623853,5.900801408,[5.90080141 4.19167846 8.18468808]
Nipa2,1.697916667,3.003680969,[3.00368097 2.12761579 4.6119407 ]
Nipal1,0.598173516,1.724170272,[1.72417027        NA        NA]
Nipal2,0.058035714,3.799387365,[3.79938736        NA        NA]
Nipal3,0.123853211,3.435749018,[3.43574902 1.46084032 8.06913345]
Nipbl,3.744360902,17.50266033,[17.50266033 12.05008967 30.73510765]
Nipsnap3b,1.710144928,3.147692117,[3.14769212 1.55546421 5.94849326]
Nisch,6.343195266,15.53768063,[15.53768063 11.65941818 20.52381458]
Nit1,1.288888889,3.924571459,[3.92457146 1.95435671 7.98324165]
Nit2,1.818181818,5.036990678,[5.03699068 2.75400227 9.49294389]
Nkain2,0.135514019,3.710623419,[3.71062342        NA        NA]
Nkap,1.514018692,2.876507555,NA
Nkapl,0.114678899,1.903044077,[1.90304408        NA        NA]
Nkd1,0.028037383,3.564118809,[3.56411881        NA        NA]
Nkd2,0.919282511,8.1391403,[ 7.89496609  5.44177537 11.85780154]
Nkiras1,0.296296296,6.238308227,[ 6.23830823  2.86482145 14.4037541 ]
Nkiras2,1.363128492,2.051838701,[1.92872838 1.37319423 3.34687139]
Nktr,1.971291866,4.030509135,[3.90959386 3.03412326 5.06779488]
Nle1,0.638888889,4.626471523,[4.62647152        NA        NA]
Nlk,0.242268041,1.088289001,[1.05564033 0.57604349 1.91284327]
Nln,0.808219178,1.929102134,[1.87122907 1.10778183 3.73236894]
Nlrc3,0.130841121,4.595202818,[ 4.59520282  1.97039219 11.39930111]
Nmd3,1.413793103,1.360717806,[1.15661014 0.85754034 1.58880267]
Nme1,15.875,8.940920437,[ 8.94092044  7.53526484 10.40268014]
Nme2,31.78571429,12.17420452,[11.80897839  8.78097333 17.33955047]
Nme4,2.04954955,5.613147144,[5.61314714 3.8519133  8.04756681]
Nme7,0.5,1.232906039,[1.23290604        NA        NA]
Nmnat1,0.440366972,2.309946377,[2.30994638 1.10530237 6.72495742]
