gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
Kif2a,1.908653846,5.058405839,7.48061331,3.26928455
Kif3a,1.319796954,3.224474099,4.37952332,2.40496027
Kif5b,6.067567568,4.101943755,4.92723578,3.3688105
Kifap3,4.238095238,4.001331905,4.76127506,3.11674918
Kifc3,1.32460733,3.148383632,4.28593732,2.34235872
Kin,1.337962963,4.888284204,7.42793225,3.1939399
Kirrel,1.873015873,13.32990523,21.35789565,8.34930538
Kitl,1.813084112,3.085838774,3.98082666,2.25478277
Klc1,4.223255814,5.64921829,6.99285363,4.60416238
Klf10,1.275229358,3.300363529,4.32275533,2.44009325
Klf3,1.251256281,2.921208341,4.61430917,1.77818569
Klf4,3.073732719,5.253920973,6.78815875,3.65558009
Klf6,4.922279793,8.472405781,11.28527925,6.34943795
Klhdc10,1.324022346,8.410577497,13.23884455,5.45606838
Klhdc2,3.439461883,4.942216834,8.20338974,2.81539363
Klhdc3,2.004672897,2.7738662610000002,3.58225742,2.12113678
Klhdc4,1.874439462,2.789617272,3.58422671,2.18126713
Klhdc8a,2.844748858,4.360460405,5.46910057,3.26259868
Klhl22,3.972093023,4.898970225,6.06071668,3.98905231
Klhl26,3.304545455,3.354190188,4.17589705,2.69717421
Klhl5,1.090047393,1.358893707,1.8561256,0.9830524
Kpna2,3.031674208,3.623163152,4.39521547,2.85671083
Kpna3,1.463414634,10.56484271,18.50057654,6.35814434
Kpna4,1.694736842,7.874878373,13.22720036,4.62302073
Kpna6,5.773480663,15.24531023,21.24172051,11.14116663
Kpnb1,16.73113208,20.52833314,25.89671696,16.01958092
Kras,4.435897436,13.02254267,18.27338614,9.32763547
Krt19,1.862385321,12.19139797,17.08395085,8.99397753
Krtcap2,10.95982143,4.61162984,7.1110419,3.00024797
Kti12,1.207253886,2.654909123,4.45658875,1.74589693
Ktn1,2.705069124,3.45085722,5.97813026,1.76174686
Lactb,2.013636364,2.436946762,3.18910001,1.9393902
Lama4,1.604651163,2.299843613,3.86858322,1.65209054
Lama5,2.490740741,12.60757535,16.99785578,9.34487873
Lamb1,4.813636364,10.05525316,13.9021769,7.13315696
Lamb2,11.15736041,18.30590628,16.35869702,13.5864477
Lamc1,2.95,2.38279632,4.16643499,1.77592519
Lamp1,21.47767857,9.967887839,10.85509842,7.93913699
Lamtor2,11.33484163,19.49229671,24.93862178,15.07629786
Lancl1,1.04245283,1.4300815,1.99179577,1.04198046
Lap3,3.936073059,5.628326812,8.02978737,3.84989061
Laptm4b,2.315151515,8.8767452080000009,15.81798435,5.55049317
Large,1.82967033,4.361592277,5.83234878,3.28457189
Larp4,1.575342466,8.242558799,12.50719012,5.30012195
Larp7,1.635514019,1.829319226,2.39533189,1.38999128
Lars,2.972850679,4.213680091,6.31043104,3.21036659
Lasp1,15.48258706,26.69118505,33.46862053,21.0934973
Lats2,3.585585586,3.408581337,4.04574289,2.63352636
Layn,1.859728507,3.501815383,5.72104313,2.02123768
Lbh,2.6359447,3.530358282,4.31416697,2.77332641
Ldb1,1.52970297,2.363429141,2.76715889,1.58300271
Ldha,24.83333333,20.28682583,26.04047046,15.22296355
Ldhb,1.576744186,6.351989894,9.3841094,4.33692353
Ldlr,3.355855856,4.692550712,5.85920022,3.79235872
Leng1,1.025641026,6.448388527,9.9129905,4.0563721
Leo1,1.63255814,5.998770611,9.48989313,3.83708857
Lepre1,2.802690583,3.059121836,5.25415283,2.23972267
Leprel2,3.209090909,11.13035412,15.66939389,7.83704308
Leprel4,5.925233645,6.60442859,9.65007277,4.75994051
Leprot,3.141552511,2.06838568,3.88300282,1.39988109
Leprotl1,8.098654709,8.479368912,11.36918217,6.05970212
Letm1,2.333333333,5.518157329,8.14368469,3.79313846
Lgals1,52.20588235,339.9516184,420.11670152,277.74540528
